league.season,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Time,Result,HalftimeHomeGoals,HalftimeAwayGoals,HalftimeResult,HomeShot,AwayShot,HomeShotTarget,AwayShotTarget,HomeTeamFouls,AwayTeamFouls,HomeTeamCorners,AwayTeamCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,result_home,result_away,home_goals_scored_home,home_goals_conceded_home,home_win_rate_home,away_goals_scored_away,away_goals_conceded_away,away_win_rate_away,home_season_rank,away_season_rank,home_rolling_scored,home_rolling_conceded,home_rolling_win_rate,away_rolling_scored,away_rolling_conceded,away_rolling_win_rate
2024,St Etienne,Lille,1,0,2024-09-13,19:45,H,1,0,H,10,17,5,4,12,10,2,7,1,1,0,0,1.0,0.0,1.412,1.941,0.353,1.235,1.059,0.353,17,5,0.0,2.333,0.0,1.8,1.2,0.6
2024,Auxerre,Monaco,0,3,2024-09-14,18:00,A,0,2,A,13,19,3,9,13,16,1,6,3,0,0,0,0.0,1.0,1.412,1.0,0.412,1.471,1.471,0.353,11,3,1.0,2.0,0.2,2.0,0.2,0.8
2024,Marseille,Nice,2,0,2024-09-14,16:00,H,1,0,H,10,12,5,4,18,4,1,2,5,2,1,0,1.0,0.0,2.412,1.353,0.588,1.647,1.529,0.353,2,4,2.4,1.2,0.6,1.8,1.6,0.2
2024,Paris SG,Stade Brestois,3,1,2024-09-14,20:00,H,1,1,D,22,5,9,3,7,13,9,1,2,3,0,0,1.0,0.0,2.647,0.941,0.824,1.235,2.235,0.294,1,9,3.4,0.6,1.0,1.8,1.6,0.4
2024,Strasbourg,Angers,1,1,2024-09-15,16:00,D,1,0,H,10,12,5,2,11,14,6,9,4,1,0,0,0.5,0.5,1.941,1.176,0.588,0.824,1.176,0.294,7,14,2.0,1.8,0.4,0.6,1.8,0.2
2024,Rennes,Montpellier,3,0,2024-09-15,14:00,H,2,0,H,11,12,6,4,10,7,3,4,1,3,0,0,1.0,0.0,1.471,1.0,0.529,0.353,2.235,0.059,12,18,1.4,1.6,0.2,0.8,2.8,0.0
2024,Toulouse,Le Havre,2,0,2024-09-15,16:00,H,0,0,D,15,5,7,3,10,11,6,5,1,1,0,0,1.0,0.0,1.176,1.294,0.294,1.471,1.765,0.412,10,15,1.0,1.6,0.2,1.4,1.6,0.4
2024,Lens,Lyon,0,0,2024-09-15,19:45,D,0,0,D,12,8,5,3,12,11,5,8,0,0,0,0,0.5,0.5,1.118,1.294,0.412,1.647,1.471,0.353,8,6,1.4,0.8,0.4,1.4,1.8,0.6
2024,Nantes,Reims,1,2,2024-09-15,16:00,A,1,1,D,18,11,6,4,14,5,6,3,3,1,0,0,0.0,1.0,1.118,1.059,0.294,0.941,1.294,0.235,13,16,1.2,1.4,0.4,1.4,1.2,0.6
2024,Nice,St Etienne,8,0,2024-09-20,19:45,H,6,0,H,18,8,12,2,7,13,3,2,0,1,0,0,1.0,0.0,2.235,0.882,0.647,0.882,2.588,0.118,4,17,1.6,1.6,0.2,0.25,1.75,0.25
